x,y,z
313.6170,662.417,-4.634
314.3710,662.410,-4.629
315.0860,662.380,-4.669
315.8630,662.377,-4.665
316.6440,662.370,-4.672
317.4480,662.379,-4.700
318.2190,662.355,-4.715
318.9760,662.340,-4.711
319.7610,662.336,-4.723
320.5440,662.330,-4.731
321.2950,662.343,-4.756
322.0670,662.347,-4.756
322.8030,662.334,-4.793
323.5600,662.317,-4.790
324.3520,662.309,-4.789
325.1260,662.304,-4.784
325.8740,662.319,-4.762
326.6080,662.317,-4.773
327.3520,662.309,-4.771
328.1200,662.287,-4.760
328.9340,662.294,-4.751
329.7180,662.284,-4.765
330.4820,662.278,-4.766
331.2470,662.264,-4.765
331.9970,662.286,-4.768
332.7250,662.278,-4.771
333.4830,662.278,-4.777
334.2780,662.287,-4.766
335.0640,662.290,-4.784
335.8260,662.271,-4.780
336.6050,662.278,-4.819
337.3860,662.264,-4.798
338.1620,662.263,-4.807
338.9220,662.268,-4.820
339.6920,662.253,-4.804
340.4740,662.276,-4.781
341.2590,662.258,-4.818
342.0440,662.252,-4.799
342.8090,662.241,-4.800
343.5820,662.250,-4.788
344.3600,662.246,-4.796
345.1450,662.240,-4.807
345.9320,662.217,-4.797
346.7130,662.186,-4.779
347.4880,662.174,-4.804
348.2550,662.183,-4.798
348.9920,662.176,-4.810
349.7360,662.152,-4.786
350.5230,662.130,-4.796
351.3250,662.140,-4.795
352.1100,662.111,-4.796
352.8910,662.085,-4.790
353.6710,662.055,-4.795
354.4420,662.052,-4.796
355.2320,662.019,-4.795
356.0090,662.005,-4.788
356.7850,661.997,-4.793
357.5600,661.994,-4.787
358.3310,661.954,-4.758
359.0900,661.915,-4.761
359.9020,661.895,-4.771
360.6840,661.888,-4.766
361.4440,661.868,-4.770
362.1980,661.846,-4.771
362.9720,661.817,-4.784
363.7550,661.806,-4.783
364.5560,661.790,-4.784
365.3120,661.756,-4.783
366.0770,661.749,-4.767
366.8440,661.753,-4.755
367.5920,661.718,-4.762
368.3570,661.702,-4.776
369.1620,661.675,-4.759
369.9630,661.630,-4.741
370.7600,661.629,-4.743
371.5230,661.612,-4.749
372.2590,661.598,-4.755
373.0070,661.582,-4.744
373.7730,661.581,-4.748
374.5390,661.578,-4.722
375.2970,661.565,-4.727
376.0600,661.553,-4.746
376.8750,661.553,-4.747
377.6810,661.502,-4.741
378.4750,661.455,-4.735
379.2500,661.461,-4.750
380.0140,661.440,-4.758
380.7790,661.417,-4.746
381.5440,661.398,-4.750
382.3140,661.362,-4.740
383.0820,661.351,-4.729
383.8260,661.325,-4.743
384.6040,661.307,-4.732
385.3940,661.280,-4.732
386.1960,661.261,-4.726
386.9990,661.229,-4.737
387.7920,661.200,-4.751
388.5740,661.174,-4.755
389.3440,661.153,-4.767
390.1120,661.120,-4.759
390.8830,661.107,-4.728
391.6360,661.106,-4.775
392.4050,661.098,-4.745
393.1560,661.108,-4.740
393.9010,661.111,-4.747
394.6740,661.136,-4.748
395.4780,661.144,-4.755
396.3270,661.179,-4.746
397.1240,661.193,-4.753
397.8920,661.210,-4.759
398.6690,661.221,-4.751
399.4370,661.261,-4.754
400.1800,661.286,-4.754
400.9290,661.330,-4.753
401.6810,661.353,-4.763
402.4430,661.428,-4.759
